Timestamp,VALCCG:D10_L02:PRES,BM_DCCT:LCUR
2024/10/21 08:59:47.461,5.044697233738686e-7,N/A
2024/10/21 08:59:48.136,N/A,0.008099999999999996
2024/10/21 08:59:48.461,4.2091405450262143e-7,N/A
2024/10/21 08:59:49.136,N/A,0.0009999999999998899
2024/10/21 08:59:49.461,3.752006546335858e-7,N/A
2024/10/21 08:59:50.136,N/A,-0.0010000000000000009
2024/10/21 08:59:50.461,3.436841041009248e-7,N/A
2024/10/21 08:59:51.136,N/A,0.0020000000000000018
2024/10/21 08:59:51.461,3.250813288650916e-7,N/A
2024/10/21 08:59:52.136,N/A,0.007099999999999995
2024/10/21 08:59:52.461,3.0785039747224893e-7,N/A
2024/10/21 08:59:53.136,N/A,0.006099999999999994
2024/10/21 08:59:53.461,2.932346951119304e-7,N/A
2024/10/21 08:59:54.136,N/A,0.0009999999999998899
2024/10/21 08:59:54.461,2.804911218787301e-7,N/A
2024/10/21 08:59:55.136,N/A,-0.005099999999999993
2024/10/21 08:59:55.461,2.704109100832644e-7,N/A
2024/10/21 08:59:56.136,N/A,-0.0010000000000000009
2024/10/21 08:59:56.462,2.6258173252572794e-7,N/A
2024/10/21 08:59:57.136,N/A,-0.0020000000000000018
2024/10/21 08:59:57.461,2.562471161125684e-7,N/A
2024/10/21 08:59:58.136,N/A,-0.0030000000000000027
2024/10/21 08:59:58.461,2.494950268459776e-7,N/A
2024/10/21 08:59:59.136,N/A,-0.006099999999999994
2024/10/21 08:59:59.461,2.4473304905295374e-7,N/A
2024/10/21 09:00:00.136,N/A,-0.006099999999999994
2024/10/21 09:00:00.461,2.4036516014907965e-7,N/A
2024/10/21 09:00:01.136,N/A,-0.0040000000000000036
2024/10/21 09:00:01.462,2.341010230516058e-7,N/A
2024/10/21 09:00:02.136,N/A,0.0050000000000000044
2024/10/21 09:00:02.461,2.296330766573427e-7,N/A
2024/10/21 09:00:03.136,N/A,-0.006099999999999994
2024/10/21 09:00:03.461,2.2510435285310147e-7,N/A
2024/10/21 09:00:04.136,N/A,-0.0010000000000000009
2024/10/21 09:00:04.461,2.2217380489636517e-7,N/A
2024/10/21 09:00:05.136,N/A,-0.005099999999999993
2024/10/21 09:00:05.461,2.187289572568058e-7,N/A
2024/10/21 09:00:06.136,N/A,0.0030000000000000027
2024/10/21 09:00:06.461,2.132778310000439e-7,N/A
2024/10/21 09:00:07.136,N/A,-0.006099999999999994
2024/10/21 09:00:07.461,2.106989679354077e-7,N/A
2024/10/21 09:00:08.136,N/A,0.0040000000000000036
2024/10/21 09:00:08.461,2.0904746547884096e-7,N/A
2024/10/21 09:00:09.136,N/A,-0.006099999999999994
2024/10/21 09:00:09.461,2.0540837477863672e-7,N/A
2024/10/21 09:00:10.136,N/A,0.007099999999999995
